Species ID	Species fullname	Number of contigs	Total contig length	N50 length	N90 length	Max length	% G+C content	% CheckM completeness	% CheckM contamination	Quality score	Phylum	Class	Order	Family	Genus	Species
M01C	Mediterraneibacter M01C	401	2523627	7438	3283	31830	47.99	76.48	0.78	72.58	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	NA
M01D	Erysipelotrichaceae M01D	211	2792962	18601	6489	75723	30.1	99.06	2.83	84.91	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_NA	NA
M01E	Faecalibacterium prausnitzii M01E	33	2516341	122067	38268	473080	59.08	99.32	0	99.32	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
M01F	Lachnospiraceae M01F	155	3287711	30728	10862	102247	49.59	99.3	0.63	96.15	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NA	NA
M020	Enterococcus hirae M020	35	2841525	154590	41141	398016	36.73	99.63	0	99.63	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hirae
M021	Butyrivibrio crossotus M021	32	2235759	186174	40382	664717	37.17	99.33	0	99.33	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio	Butyrivibrio crossotus
M022	Collinsella M022	30	2304720	114502	36320	345426	59.87	100	0.81	95.95	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M023	Collinsella M023	21	2323179	146671	66297	324270	59.75	100	0.81	95.95	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M024	Lachnospira M024	73	2910356	61362	19950	171498	35.1	99.33	0.17	98.48	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	NA
M025	Clostridium M025	33	1508576	91599	23350	150140	26.98	74.88	0.92	70.28	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M026	Ruminococcus M026	67	2054302	60801	16761	261941	39.29	97.99	0	97.99	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_Ruminococcus	NA
M027	Ruminococcus M027	52	2629589	90412	25921	178163	47.03	97.32	0	97.32	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_Ruminococcus	NA
M028	Clostridium M028	23	1502824	163657	26568	319905	26.6	75.77	1.01	70.72	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M029	Porphyromonadaceae M029	34	2956019	123932	53692	358412	52.97	98.3	0.75	94.55	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_NA	NA
M02A	Phascolarctobacterium M02A	50	2452669	76304	26449	152923	46.77	97.6	1.7	89.1	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	NA
M02B	Clostridium M02B	36	1557753	70062	26385	140244	26.23	74.1	0.78	70.2	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M02C	Comamonas kerstersii M02C	240	3068056	17699	5769	107319	60.04	93.98	0.62	90.88	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Comamonas	Comamonas kerstersii
M02D	Bacteroides togonis M02D	44	3263271	94609	38788	285965	49.26	95.22	1.3	88.72	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides togonis
M02E	Muribaculaceae M02E	93	2348701	35122	13425	154872	58	86.98	0.57	84.13	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_NA	NA
M02F	CAG-302 M02F	23	1231483	78665	29392	158451	26.72	91.29	0	91.29	Tenericutes	Mollicutes	Mycoplasmatales	CAG-302	CAG-302_NA	NA
M030	Tidjanibacter inops M030	40	2236919	83309	29933	256629	56.59	99.04	0	99.04	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Tidjanibacter	Tidjanibacter inops
M031	Collinsella stercoris M031	13	2051586	286674	164896	371951	63.79	100	0	100	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella stercoris
M032	Collinsella M032	40	2229634	82451	32884	246860	60.24	99.19	0.81	95.14	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M033	Clostridium M033	23	2447966	153207	64751	416642	44.25	98.66	0.67	95.31	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_Clostridium	NA
M034	Lachnospiraceae M034	289	2658603	13423	4108	48357	45.02	88.2	1.68	79.8	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NA	NA
M035	Mycoplasmataceae M035	30	1484888	92213	26961	191357	27.49	92.7	2.25	81.45	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasmataceae_NA	NA
M036	Clostridium M036	90	1909750	30378	10143	71679	49.59	95.78	1.42	88.68	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_Clostridium	NA
M037	UBA1829 M037	260	3419103	18365	6231	104614	55.76	88.85	2.7	75.35	Verrucomicrobiota	Lentisphaeria	Victivallales	UBA1829	UBA1829_NA	NA
M038	Prevotella M038	55	2138441	58440	19107	215077	54.09	73.21	0.12	72.61	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA
M039	Acutalibacteraceae M039	41	1899086	74441	24964	195681	45.53	95.97	0	95.97	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_NA	NA
M03A	Borkfalkiaceae M03A	115	1700380	21373	6559	110123	49.6	94.06	0.03	93.91	Firmicutes	Clostridia	Christensenellales	Borkfalkiaceae	Borkfalkiaceae_NA	NA
M03B	Monoglobaceae M03B	232	1778491	10522	3564	38479	50.2	89.15	1.01	84.1	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobaceae_NA	NA
M03C	Schaedlerella M03C	136	2838043	41373	10161	142879	38.05	97.1	0.12	96.5	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	NA
M03D	Prevotella M03D	58	2547725	75930	23564	163631	51.05	95.93	0	95.93	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA
M03E	Anaerovibrio M03E	257	1730575	8895	3120	39051	44.55	88.13	1.84	78.93	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Anaerovibrio	NA
M03F	Prevotella M03F	81	2793534	57044	16441	181224	47.09	93.45	1.13	87.8	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA
M040	Muribaculaceae M040	87	3022800	48677	21363	107735	45.95	96.23	0.75	92.48	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_NA	NA
M041	Campylobacter coli M041	13	1632229	216976	80661	348808	31.35	99.44	0.21	98.39	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli
M042	Phocaeicola plebeius M042	129	3438499	50471	12194	179046	44.52	98.28	0	98.28	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola plebeius
M043	Collinsella intestinalis M043	10	1709141	188589	97558	382946	62.61	99.19	0	99.19	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella intestinalis
M044	Fusobacterium M044	259	2293506	12017	4057	42230	29.9	98.88	1.17	93.03	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA
M045	Muribaculaceae M045	50	2319496	70699	21345	274991	51.96	97.36	0	97.36	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_NA	NA
M046	Prevotellaceae M046	103	2922551	44740	13997	227849	54.4	95.88	0.93	91.23	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_NA	NA
M047	QALW01 M047	36	1929582	73713	29423	253454	45.52	90.91	0	90.91	Firmicutes	Clostridia	Christensenellales	QALW01	QALW01_NA	NA
M048	Prevotella M048	86	3051764	51627	16313	172409	48.11	97.29	1.11	91.74	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA
M049	Prevotella M049	253	2432642	12025	5187	38184	43.87	90.44	0.68	87.04	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA
M04A	Megamonas funiformis M04A	54	2163640	59354	19149	255968	58.64	93.46	0.19	92.51	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	Megamonas funiformis
M04B	Coprococcus M04B	31	2320445	112418	42582	242158	41.94	99.33	0	99.33	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	NA
M04C	Prevotella M04C	66	2822898	63234	24600	137308	45.17	92.59	0	92.59	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA
M04D	Lachnospiraceae M04D	397	2639778	8567	3382	30738	49.21	83.18	2.87	68.83	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NA	NA
M04E	Prevotella M04E	87	2721692	49633	15035	217949	48.46	96.94	0.12	96.34	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA
M04F	Collinsella aerofaciens M04F	25	2077300	155935	41927	273476	60.15	97.58	0.81	93.53	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
M050	Rothia mucilaginosa M050	29	2154370	156414	31484	349543	59.77	93.33	0	93.33	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia mucilaginosa
M051	Citrobacter portucalensis M051	24	4819851	346811	90532	1157091	51.98	99.37	0.4	97.37	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter portucalensis
M052	Clostridium paraputrificum M052	34	3517240	150111	55256	551683	29.68	98.39	0	98.39	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	Clostridium paraputrificum
M053	Enterococcus M053	25	2901234	178246	79254	341294	44.05	96.82	0.98	91.92	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA
M054	Proteus vulgaris M054	38	3934222	190631	64074	385633	37.48	97.3	0	97.3	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus vulgaris
M055	Enterococcus asini M055	245	2446934	14411	4401	69290	44.77	93.43	1.84	84.23	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus asini
M056	Collinsella M056	114	2109123	30112	8562	66067	59.94	97.29	2.28	85.89	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M057	Muribaculaceae M057	67	2240303	51965	15114	124349	54.62	87.74	0.38	85.84	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_NA	NA
M058	CAG-74 M058	120	2819358	37175	12412	92356	58.35	97.2	0.23	96.05	Firmicutes	Clostridia	Christensenellales	CAG-74	CAG-74_NA	NA
M059	Gastranaerophilaceae M059	17	1876581	297143	55068	324045	32.81	88.89	0.85	84.64	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Gastranaerophilaceae_NA	NA
M05A	Duncaniella M05A	36	2224122	89375	31326	212682	56.84	81.7	0	81.7	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	NA
M05B	Ruminiclostridium M05B	31	2548487	176410	35915	297632	44.69	97.65	0	97.65	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium	NA
M05C	Anaeroplasmataceae M05C	51	1890314	75817	13831	153260	29.52	93.33	0	93.33	Firmicutes	Bacilli	Acholeplasmatales	Anaeroplasmataceae	Anaeroplasmataceae_NA	NA
M05D	Streptococcus thermophilus M05D	87	1748132	33200	10044	77454	39.02	99.4	0.23	98.25	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus
M05E	Streptococcus anginosus M05E	60	1771889	49260	15435	182641	38.93	96.89	0.66	93.59	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus anginosus
M05F	CAG-822 M05F	75	1190042	21674	8703	66621	26.62	91.57	0	91.57	Tenericutes	Mollicutes	Mycoplasmatales	CAG-822	CAG-822_NA	NA
M060	Prevotella copri M060	62	3295442	81289	29128	217219	45.44	98.65	0.68	95.25	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri
M061	Coprococcus M061	20	2646600	223113	71347	406545	41.34	99.33	0	99.33	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	NA
M062	Lawsonibacter M062	49	2766769	86777	31272	200174	58.02	99.33	0.02	99.23	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	NA
M063	Oscillibacter M063	37	2059822	93857	31289	192510	57.83	97.99	0	97.99	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	NA
M064	Catabacter M064	111	871639	10223	3960	34071	26.33	80.41	1.69	71.96	Firmicutes	Clostridia	Christensenellales	Catabacteriaceae	Catabacteriaceae_Catabacter	NA
M065	Subdoligranulum M065	94	1421459	22984	7117	103527	48.67	89.92	2.14	79.22	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Subdoligranulum	NA
M066	Muribaculaceae M066	95	2692528	44369	11612	169312	47.96	94.53	0.13	93.88	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_NA	NA
M067	Methanobrevibacter smithii M067	15	1782230	200445	77270	578365	31.13	100	0	100	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii
M068	Oscillospiraceae M068	152	2174265	19486	6885	72450	58.23	85.07	1.51	77.52	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M069	Faecalibacterium prausnitzii M069	118	2139484	30265	7486	103416	58.6	94.75	0	94.75	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
M06A	Clostridium M06A	217	1555571	9221	3389	35998	46.13	77.68	1.57	69.83	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_Clostridium	NA
M06B	Butyrivibrio M06B	53	2275716	67023	24728	188372	41.9	94.87	0	94.87	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio	NA
M06C	Bacteroides M06C	210	1955941	13708	4297	41539	47.29	87.84	1.43	80.69	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
M06D	Lachnospiraceae M06D	43	2726480	78534	32412	270250	44.18	99.28	1.45	92.03	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NA	NA
M06E	Clostridium M06E	60	2565793	66864	23844	180054	42.74	95.28	0.23	94.13	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M06F	CAG-611 M06F	22	1136654	91514	31497	209463	27.51	88.2	1.69	79.75	Tenericutes	Mollicutes	Mycoplasmatales	CAG-611	CAG-611_NA	NA
M070	UBA644 M070	33	2073490	77178	39882	214530	47.27	94.41	0	94.41	Firmicutes	Clostridia	Oscillospirales	UBA644	UBA644_NA	NA
M071	Oscillibacter M071	28	1990733	87895	41636	251556	58.91	91.28	1.01	86.23	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	NA
M072	Clostridium M072	45	1280837	91746	13967	200452	28.08	79.47	0.35	77.72	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M073	CAG-313 M073	55	1870209	67988	18250	121955	27.83	98.67	0.11	98.12	Tenericutes	Mollicutes	Acholeplasmatales	CAG-313	CAG-313_NA	NA
M074	CAG-611 M074	30	933460	50408	12328	101107	28.6	79.94	0	79.94	Tenericutes	Mollicutes	Mycoplasmatales	CAG-611	CAG-611_NA	NA
M075	Ruminococcus M075	25	2361362	151688	63448	259583	52.3	97.32	0	97.32	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_Ruminococcus	NA
M076	Alistipes timonensis M076	22	3383528	233365	95457	411000	58.74	99.52	0	99.52	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes timonensis
M077	Clostridium M077	27	1793424	98685	51278	224110	27.77	75.33	0.67	71.98	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M078	Clostridium M078	31	1644354	99624	38126	190274	26.04	75.21	1.34	68.51	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M079	Faecalibacterium M079	27	2218213	126673	46884	446165	59.84	95.75	0	95.75	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
M07A	Clostridium M07A	55	1746813	50200	18184	130545	27.08	76	1.01	70.95	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M07B	Collinsella M07B	118	2053085	39431	6532	215697	60.03	97.04	1.08	91.64	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
M07C	Bifidobacterium dentium M07C	22	2413304	158563	76587	442488	58.44	100	0.45	97.75	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium dentium
M07D	Enterocloster clostridioformis M07D	77	4726625	105295	32364	270454	49.73	99.32	0.56	96.52	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster clostridioformis
M07E	Blautia M07E	85	3082940	48806	23362	271530	41.05	99.36	0	99.36	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
M07F	Veillonella tobetsuensis M07F	97	1843538	28815	8637	70359	38.75	97.64	1.24	91.44	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella tobetsuensis
M080	Bacteroides stercoris M080	65	3487021	82927	30990	313845	46.09	99.26	0	99.26	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris
M081	Clostridium M081	12	1590316	242851	101906	337446	26.37	76.22	1.79	67.27	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M082	Mycoplasmataceae M082	63	1100135	22914	10553	62181	29.28	77.53	3.37	60.68	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasmataceae_NA	NA
M083	Haemophilus parainfluenzae M083	149	1885721	18236	6092	59995	39.27	95.01	3.25	78.76	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
M084	Streptococcus vestibularis M084	140	1445320	14215	5101	58436	39.88	80.25	2.28	68.85	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus vestibularis
M085	Clostridium tertium M085	36	3837777	248399	77329	439942	27.72	97.98	0.81	93.93	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	Clostridium tertium
M086	Acutalibacteraceae M086	244	1815780	10360	3443	33316	38.38	87.62	0.34	85.92	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_NA	NA
M087	Turicibacter sanguinis M087	96	3064981	64914	15229	156173	34.1	98.19	0.3	96.69	Firmicutes	Bacilli	Haloplasmatales	Turicibacteraceae	Turicibacter	Turicibacter sanguinis
M088	Holdemania massiliensis M088	96	3421944	57993	18041	129679	47.55	99.05	1.27	92.7	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania massiliensis
M089	Parasutterella M089	138	2566677	32840	8303	131053	48.8	99.37	0.63	96.22	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Parasutterella	NA
M08A	Roseburia M08A	60	3391367	106705	26912	386442	41.34	98.16	1.05	92.91	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	NA
M08B	Clostridium M08B	162	2833701	30918	7287	234774	47.53	93.94	0	93.94	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_Clostridium	NA
M08C	Duodenibacillus M08C	28	2290490	107625	52559	246728	54.49	98.75	0.62	95.65	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Duodenibacillus	NA
M08D	Paraprevotella clara M08D	81	3580080	62130	22883	146875	48.57	99.26	0	99.26	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Paraprevotella clara
M08E	Clostridium M08E	32	1619626	98204	28377	238063	26.84	80.69	1.79	71.74	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_Clostridium	NA
M08F	Faecalibacterium prausnitzii M08F	24	2334309	177663	49153	553951	57.74	98.64	0	98.64	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
M090	Peptostreptococcaceae M090	503	2759368	6451	2668	38133	28.08	74.48	0	74.48	Firmicutes	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcaceae_NA	NA
M091	Lachnospiraceae M091	274	3721722	21002	6466	88814	47.95	89.97	3.78	71.07	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NA	NA
M092	Prevotella M092	111	2374943	31611	10467	89272	47.81	97.59	0.62	94.49	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA
M093	Oscillospiraceae M093	51	1807098	55352	19013	133739	53.09	94.3	0.34	92.6	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae_NA	NA
M094	Mycoplasmataceae M094	160	990531	7406	3102	51406	28	79.96	0.67	76.61	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasmataceae_NA	NA
M095	Ruminococcus M095	125	2617042	41156	10311	150258	42.27	94.64	1.78	85.74	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_Ruminococcus	NA
